quarter,type_of_property,private_residential_property_price_index
1975-Q1,Landed,7.4
1975-Q1,Non-landed,10.5
1975-Q2,Landed,7.7
1975-Q2,Non-landed,11.2
1975-Q3,Landed,7.8
1975-Q3,Non-landed,11.5
1975-Q4,Landed,7.9
1975-Q4,Non-landed,11.5
1976-Q1,Landed,7.9
1976-Q1,Non-landed,11.5
1976-Q2,Landed,8
1976-Q2,Non-landed,11.7
1976-Q3,Landed,8
1976-Q3,Non-landed,11.7
1976-Q4,Landed,8
1976-Q4,Non-landed,11.5
1977-Q1,Landed,7.9
1977-Q1,Non-landed,11.5
1977-Q2,Landed,7.9
1977-Q2,Non-landed,11.5
1977-Q3,Landed,7.7
1977-Q3,Non-landed,11.5
1977-Q4,Landed,7.6
1977-Q4,Non-landed,11.5
1978-Q1,Landed,7.5
1978-Q1,Non-landed,11.5
1978-Q2,Landed,7.6
1978-Q2,Non-landed,11.7
1978-Q3,Landed,7.9
1978-Q3,Non-landed,11.7
1978-Q4,Landed,7.9
1978-Q4,Non-landed,12.1
1979-Q1,Landed,8.4
1979-Q1,Non-landed,12.7
1979-Q2,Landed,9
1979-Q2,Non-landed,13.3
1979-Q3,Landed,9.8
1979-Q3,Non-landed,14.6
1979-Q4,Landed,10.6
1979-Q4,Non-landed,15.8
1980-Q1,Landed,12.3
1980-Q1,Non-landed,18.9
1980-Q2,Landed,14.3
1980-Q2,Non-landed,22
1980-Q3,Landed,16.2
1980-Q3,Non-landed,25.8
1980-Q4,Landed,18.7
1980-Q4,Non-landed,31
1981-Q1,Landed,23.7
1981-Q1,Non-landed,39.6
1981-Q2,Landed,27.3
1981-Q2,Non-landed,44.3
1981-Q3,Landed,27.4
1981-Q3,Non-landed,43.1
1981-Q4,Landed,26.4
1981-Q4,Non-landed,40
1982-Q1,Landed,27
1982-Q1,Non-landed,38.7
1982-Q2,Landed,28.2
1982-Q2,Non-landed,39
1982-Q3,Landed,29.2
1982-Q3,Non-landed,38.7
1982-Q4,Landed,30.6
1982-Q4,Non-landed,39.6
1983-Q1,Landed,32.6
1983-Q1,Non-landed,40.6
1983-Q2,Landed,34
1983-Q2,Non-landed,41.2
1983-Q3,Landed,35.4
1983-Q3,Non-landed,40.6
1983-Q4,Landed,35.5
1983-Q4,Non-landed,39.6
1984-Q1,Landed,36.9
1984-Q1,Non-landed,38.1
1984-Q2,Landed,36.2
1984-Q2,Non-landed,35.4
1984-Q3,Landed,35.8
1984-Q3,Non-landed,33.7
1984-Q4,Landed,33.4
1984-Q4,Non-landed,33.1
1985-Q1,Landed,31.8
1985-Q1,Non-landed,30.9
1985-Q2,Landed,29.7
1985-Q2,Non-landed,31.3
1985-Q3,Landed,28.2
1985-Q3,Non-landed,29.9
1985-Q4,Landed,28.1
1985-Q4,Non-landed,28.5
1986-Q1,Landed,26.1
1986-Q1,Non-landed,26.5
1986-Q2,Landed,24.5
1986-Q2,Non-landed,23.5
1986-Q3,Landed,26
1986-Q3,Non-landed,24.8
1986-Q4,Landed,29.6
1986-Q4,Non-landed,26.5
1987-Q1,Landed,30.4
1987-Q1,Non-landed,26.8
1987-Q2,Landed,31.4
1987-Q2,Non-landed,28.3
1987-Q3,Landed,33.6
1987-Q3,Non-landed,31
1987-Q4,Landed,32.6
1987-Q4,Non-landed,31.4
1988-Q1,Landed,32.6
1988-Q1,Non-landed,30.7
1988-Q2,Landed,33.3
1988-Q2,Non-landed,31.6
1988-Q3,Landed,33
1988-Q3,Non-landed,32.6
1988-Q4,Landed,34
1988-Q4,Non-landed,34.4
1989-Q1,Landed,34
1989-Q1,Non-landed,35.2
1989-Q2,Landed,35
1989-Q2,Non-landed,36.4
1989-Q3,Landed,36.9
1989-Q3,Non-landed,38.7
1989-Q4,Landed,37.4
1989-Q4,Non-landed,39.4
1990-Q1,Landed,40.3
1990-Q1,Non-landed,41.6
1990-Q2,Landed,40.6
1990-Q2,Non-landed,43.1
1990-Q3,Landed,41.5
1990-Q3,Non-landed,42.7
1990-Q4,Landed,39
1990-Q4,Non-landed,41.8
1991-Q1,Landed,41.8
1991-Q1,Non-landed,42.8
1991-Q2,Landed,44.8
1991-Q2,Non-landed,46.7
1991-Q3,Landed,46.5
1991-Q3,Non-landed,47.5
1991-Q4,Landed,48.1
1991-Q4,Non-landed,47.7
1992-Q1,Landed,50.5
1992-Q1,Non-landed,49.9
1992-Q2,Landed,51.3
1992-Q2,Non-landed,52.7
1992-Q3,Landed,52.7
1992-Q3,Non-landed,55.2
1992-Q4,Landed,54.7
1992-Q4,Non-landed,56.3
1993-Q1,Landed,60.4
1993-Q1,Non-landed,57.2
1993-Q2,Landed,69.8
1993-Q2,Non-landed,61.6
1993-Q3,Landed,79.4
1993-Q3,Non-landed,65.4
1993-Q4,Landed,84.5
1993-Q4,Non-landed,68.5
1994-Q1,Landed,95.2
1994-Q1,Non-landed,72.7
1994-Q2,Landed,107.6
1994-Q2,Non-landed,83.4
1994-Q3,Landed,125.8
1994-Q3,Non-landed,88.7
1994-Q4,Landed,126.7
1994-Q4,Non-landed,92.3
1995-Q1,Landed,129.6
1995-Q1,Non-landed,95.2
1995-Q2,Landed,130.5
1995-Q2,Non-landed,96.8
1995-Q3,Landed,133.2
1995-Q3,Non-landed,97.7
1995-Q4,Landed,135.1
1995-Q4,Non-landed,105.5
1996-Q1,Landed,138.4
1996-Q1,Non-landed,110.8
1996-Q2,Landed,140.9
1996-Q2,Non-landed,122.2
1996-Q3,Landed,137.8
1996-Q3,Non-landed,119.9
1996-Q4,Landed,131.7
1996-Q4,Non-landed,118.8
1997-Q1,Landed,129.9
1997-Q1,Non-landed,111.9
1997-Q2,Landed,128.9
1997-Q2,Non-landed,110.9
1997-Q3,Landed,123.2
1997-Q3,Non-landed,106.2
